date,hour,ma_ck,title,weekday,title_new
2023-02-01,16.3,BHT,BHT: Giải trình liên quan đến Báo cáo tài chính năm 2022,Wednesday,giải_trình liên_quan báo_cáo tài_chính
2023-02-01,16.3,BHT,BHT: Công văn giải trình ý kiến kiểm toán ngoại trừ,Wednesday,công_văn giải_trình ý_kiến kiểm_toán
2023-01-31,17.1,BHT,BHT: Thông báo triệu tập Đại hội đồng cổ đông thường niên năm 2023,Tuesday,thông_báo triệu_tập đại_hội_đồng cổ_đông thường_niên
2023-01-16,14.5,BHT,BHT: Báo cáo quản trị công ty năm 2022,Monday,báo_cáo quản_trị công_ty
2023-01-10,13.1,BHT,"BHT: 19.1.2023, ngày GDKHQ Tổ chức Đại hội đồng cổ đông thường niên năm 2023",Tuesday,tổ_chức đại_hội_đồng cổ_đông thường_niên
2023-01-16,16.5,BT6,BT6: Giải trình liên quan đến Báo cáo tài chính kiểm toán bán niên năm 2022,Monday,giải_trình liên_quan báo_cáo tài_chính kiểm_toán bán_niên
2023-01-10,17.3,BT6,BT6: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-01-19,16.5,C12,C12: Báo cáo quản trị công ty năm 2022,Thursday,báo_cáo quản_trị công_ty
2023-01-31,17.4,CDO,CDO: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-02-10,17.5,CEG,"CEG: 24.2.2023, ngày GDKHQ Tham dự Đại hội đồng cổ đông thường niên năm 2023",Friday,tham_dự đại_hội_đồng cổ_đông thường_niên
2023-02-09,9.5,CEG,CEG: Thông báo ngày ĐKCC thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2023,Thursday,thông_báo thực_hiện quyền tham_dự đhđcđ thường_niên
2023-01-27,15.5,CEG,CEG: Báo cáo quản trị công ty năm 2022,Friday,báo_cáo quản_trị công_ty
2023-02-24,17.1,CIG,CIG: Điều chỉnh thời gian tổ chức ĐHĐCĐ thường niên năm 2023,Friday,điều_chỉnh thời_gian tổ_chức đhđcđ thường_niên
2023-02-20,16.4,CIG,CIG: Ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2023,Monday,thực_hiện quyền tham_dự đhđcđ thường_niên
2023-02-17,17.5,CIG,CIG: Bà Trần Thị Liên đã mua 7.620.000 cp trở thành CĐL,Friday,trần thị đã mua cp trở_thành
2023-02-16,17.5,CIG,CIG: CTCP Đầu tư FIDEL đã bán 18.100.000 cp,Thursday,ctcp đầu_tư fidel đã bán
2023-02-16,17.5,CIG,CIG: Ông Nguyễn Văn Đạt đã mua 7.620.000 cp trở thành CĐL,Thursday,nguyễn_văn_đạt đã mua cp trở_thành
2023-02-02,16.5,CIG,CIG: Nghị quyết HĐQT v/v thông qua nội dung phiên họp HĐQT ngày 02/02/2023,Thursday,nghị_quyết hđqt v v thông_qua nội_dung phiên họp hđqt
2023-02-02,16.5,CIG,CIG: Nghị quyết HĐQT v/v thông qua nội dung chốt DSCĐ có quyền tham dự ĐHĐCĐTN 2023,Thursday,nghị_quyết hđqt v v thông_qua nội_dung chốt dscđ có quyền tham_dự
2023-01-31,15.0,CIG,CIG: Giải trình LNST quý 4/2022 so với cùng kỳ năm trước,Tuesday,giải_trình lnst so cùng kỳ trước
2023-01-31,15.0,CIG,CIG: Giải trình phương án khắc phục tình trạng chứng khoán bị cảnh báo,Tuesday,giải_trình phương_án khắc_phục tình_trạng chứng_khoán bị cảnh_báo
2023-01-18,18.0,CIG,CIG: Báo cáo tình hình quản trị công ty năm 2022,Wednesday,báo_cáo tình_hình quản_trị công_ty
2023-02-14,9.2,CLG,CLG: Quyết định về việc đưa vào diện cảnh báo,Tuesday,quyết_định việc đưa diện
2023-02-14,9.2,CLG,CLG: Thông báo về việc điều chỉnh tình trạng chứng khoán,Tuesday,thông_báo việc điều_chỉnh tình_trạng
2023-02-06,19.1,CMI,CMI: Giải trình nguyên nhân báo cáo KQKD quý 4.2022 lợi nhuận sau thuế âm,Monday,giải_trình nguyên_nhân báo_cáo kqkd lợi_nhuận sau thuế
2023-01-31,17.1,CMI,CMI: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-01-16,17.2,CMI,CMI: Nghị quyết HĐQT v/v lựa chọn đơn vị kiểm toán BCTC năm tài chính kết thúc ngày 31/12/2022,Monday,nghị_quyết hđqt v v lựa_chọn đơn_vị kiểm_toán bctc kết_thúc
2023-02-22,17.2,CPI,CPI: Nghị quyết HĐQT v/v tổ chức ĐHĐCĐ TN 2023,Wednesday,nghị_quyết hđqt v v tổ_chức đhđcđ
2023-02-17,10.0,CPI,CPI: CTCP Cảng Quảng Ninh đăng ký bán 50.187 CP,Friday,ctcp cảng quảng_ninh đăng_ký bán
2023-01-19,16.5,CPI,CPI: Báo cáo quản trị công ty năm 2022,Thursday,báo_cáo quản_trị công_ty
2023-02-14,9.4,CTA,CTA: Thông báo về việc điều chỉnh tình trạng chứng khoán,Tuesday,thông_báo việc điều_chỉnh tình_trạng
2023-02-14,9.2,CTA,CTA: Quyết định đưa vào diện đình chỉ giao dịch,Tuesday,quyết_định đưa diện đình_chỉ
2023-01-31,17.3,CYC,CYC: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-01-31,17.3,DCT,DCT: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-02-22,17.1,DDM,DDM: Thông báo về việc chốt Danh sách cổ đông dự họp ĐHĐCĐ thường niên năm 2023,Wednesday,thông_báo việc chốt danh_sách cổ_đông dự họp đhđcđ thường_niên
2023-02-01,15.1,DDM,DDM: Báo cáo quản trị công ty năm 2022,Wednesday,báo_cáo quản_trị công_ty
2023-01-27,17.2,DDM,DDM: Giải trình liên quan đến Báo cáo tài chính Quý 4/2022,Friday,giải_trình liên_quan báo_cáo tài_chính
2023-02-17,15.4,DHB,DHB: Bổ nhiệm ông Nguyễn Đình Hồng giữ chức Phó TGĐ từ 16/02/2023,Friday,bổ_nhiệm nguyễn_đình_hồng giữ chức tgđ
2023-02-10,19.0,DHB,"Lãi cao kỷ lục năm 2022, nhưng các doanh nghiệp ngành phân bón đã bước qua đỉnh lợi nhuận?",Saturday,lãi cao kỷ_lục doanh_nghiệp ngành phân_bón đã bước qua đỉnh
2023-01-31,17.1,DHB,DHB: Giải trình liên quan đến báo cáo tài chính Quý 4/2022,Tuesday,giải_trình liên_quan báo_cáo tài_chính
2023-01-31,17.1,DHB,DHB: Báo cáo quản trị công ty năm 2022,Tuesday,báo_cáo quản_trị công_ty
2023-01-30,8.0,DHB,Đạm Hà Bắc lãi kỷ lục gần 1.800 tỷ đồng trong năm 2022,Monday,đạm hà bắc lãi kỷ_lục gần
2023-02-14,9.4,DIC,DIC: Thông báo về việc điều chỉnh tình trạng chứng khoán,Tuesday,thông_báo việc điều_chỉnh tình_trạng
2023-02-14,9.4,DIC,DIC: Quyết định đưa vào diện cảnh báo,Tuesday,quyết_định đưa diện
2023-01-19,15.0,DIC,DIC: Báo cáo quản trị công ty năm 2022,Thursday,báo_cáo quản_trị công_ty
2023-02-07,16.0,DLG,"DLG: Quyết định của HĐQT về chủ trương thực hiện các hợp đồng, giao dịch với các bên liên quan",Tuesday,quyết_định hđqt chủ_trương thực_hiện hợp_đồng giao_dịch bên
2023-02-03,17.5,DLG,DLG: Đính chính BCTC HN quý 4/2022,Friday,đính_chính bctc hn
2023-01-31,15.1,DLG,DLG: Giải trình BCTC quý 4/2022 so với cùng kỳ năm trước,Tuesday,giải_trình bctc so cùng kỳ trước
2023-01-31,14.5,DLG,DLG: Báo cáo tình hình quản trị công ty năm 2022,Tuesday,báo_cáo tình_hình quản_trị công_ty
2023-01-31,9.5,DLG,Đức Long Gia Lai (DLG): Quý 4 lỗ kỷ lục gần 500 tỷ đồng do trích lập dự phòng,Tuesday,đức long gia lai lỗ kỷ_lục gần trích lập
2023-01-18,9.5,DLG,"Kinh doanh thua lỗ, Đức Long Gia Lai (DLG) xin lùi thời gian trả nợ hơn 181 tỷ đồng",Wednesday,kinh_doanh thua_lỗ đức long gia lai xin lùi thời_gian trả nợ hơn
2023-02-01,15.0,DLR,DLR: Báo cáo quản trị công ty năm 2022,Wednesday,báo_cáo quản_trị công_ty
2023-01-18,16.1,DLR,DLR: Giải trình lợi nhuận sau thuế BCTC quý 4/2022,Wednesday,giải_trình lợi_nhuận sau thuế bctc
2023-02-24,17.4,DP2,DP2: Chốt danh sách cổ đông để tổ chức Đại hội đồng cổ đông thường niên năm 2023,Friday,chốt danh_sách cổ_đông tổ_chức đại_hội_đồng cổ_đông thường_niên
2023-01-12,17.0,DP2,DP2: Báo cáo quản trị công ty năm 2022,Thursday,báo_cáo quản_trị công_ty
2023-01-31,15.0,DXV,DXV: Báo cáo tình hình quản trị công ty năm 2022,Tuesday,báo_cáo tình_hình quản_trị công_ty
2023-01-17,16.2,DXV,DXV: Giải trình chênh lệch lợi nhuận sau thuế quý 4/2022 so với quý 4/2021,Tuesday,giải_trình chênh_lệch lợi_nhuận sau thuế so
2023-01-17,16.1,DXV,DXV: Các biện pháp và lộ trình khắc phục lỗ lũy kế tại 31/12/2022,Tuesday,biện_pháp lộ_trình khắc_phục lỗ lũy kế
2023-02-27,16.1,FLC,ĐHCĐ bất thường của Tập đoàn FLC vào ngày 4/3 sắp tới sẽ bàn về vấn đề gì?,Monday,đhcđ bất_thường tập_đoàn sắp tới sẽ bàn vấn_đề
2023-02-27,13.4,FLC,Đã có những lãnh đạo cấp cao nào rời FLC từ ngày “định mệnh”?,Monday,đã có lãnh_đạo cấp cao rời
2023-02-27,11.1,FLC,Tổng Giám đốc FLC Bùi Hải Huyền và hai cấp phó đồng loạt xin từ nhiệm,Monday,tổng_giám_đốc bùi_hải huyền cấp đồng_loạt xin
2023-02-24,17.0,FLC,FLC: Thông báo về trạng thái chứng khoán của CTCP Tập đoàn FLC,Friday,thông_báo trạng_thái chứng_khoán ctcp tập_đoàn
2023-02-24,17.0,FLC,"FLC: Ngày 03/03/2023, giao dịch 709.997.807 cổ phiếu đăng ký giao dịch",Friday,cổ_phiếu đăng_ký
2023-02-24,16.5,FLC,FLC: Quyết định về việc đình chỉ giao dịch đối với cổ phiếu của CTCP Tập đoàn FLC,Friday,quyết_định việc đình_chỉ giao_dịch đối_với cổ_phiếu ctcp tập_đoàn
2023-02-24,16.5,FLC,FLC: Quyết định chấp thuận đăng ký giao dịch của CTCP Tập đoàn FLC,Friday,quyết_định chấp_thuận đăng_ký giao_dịch ctcp tập_đoàn
2023-02-22,15.4,FLC,Vì sao cổ phiếu FLC chưa giao dịch trên UPCoM?,Wednesday,vì_sao cổ_phiếu chưa giao_dịch
2023-02-17,19.0,FLC,"Gần 710 triệu cổ phiếu FLC sẽ chuyển dữ liệu đăng ký, lưu ký về UPCOM từ ngày 22/2",Sunday,gần cổ_phiếu sẽ chuyển dữ_liệu đăng_ký lưu ký upcom
2023-02-17,16.0,FLC,"Tổng giám đốc FLC gửi lời xin lỗi cổ đông, giãi bày về nỗ lực nhằm không huỷ niêm yết cổ phiếu nhưng không thành công",Friday,tổng_giám_đốc gửi lời xin_lỗi cổ_đông giãi_bày nỗ_lực nhằm không_huỷ niêm_yết cổ_phiếu
2023-02-15,11.2,FLC,FLC: Thông báo v/v hủy niêm yết đối với cổ phiếu,Wednesday,thông_báo v v hủy niêm_yết đối_với
2023-02-14,17.2,FLC,FLC kiến nghị cơ quan quản lý xem xét lại quyết định hủy niêm yết cổ phiếu,Tuesday,kiến_nghị cơ_quan quản_lý xem_xét lại quyết_định hủy niêm_yết
2023-02-14,17.1,FLC,"Trong vòng chưa đầy 1 năm, hơn 20 dự án có liên quan đến Tập đoàn FLC bị thu hồi, chấm dứt hoạt động...",Tuesday,vòng chưa đầy hơn có liên_quan tập_đoàn bị thu_hồi chấm_dứt
2023-02-14,14.2,FLC,"12 năm thăng trầm trên sàn chứng khoán của FLC: Lọt rổ hàng loạt quỹ đầu tư, 'vua thanh khoản' cho đến hủy niêm yết",Tuesday,sàn chứng_khoán lọt rổ hàng_loạt quỹ đầu_tư vua thanh khoản hủy
2023-02-14,13.4,FLC,"FLC: Tài sản tăng phi mã từ 200 tỷ lên gần 40.000 tỷ sau 10 năm, ngậm ngùi hủy niêm yết với khoản lỗ 1.900 tỷ đồng",Tuesday,tài_sản tăng phi_mã lên gần sau hủy niêm_yết khoản lỗ
2023-02-14,10.3,FLC,Cổ phiếu FLC chính thức bị hủy niêm yết từ ngày 20/2/2023,Tuesday,cổ_phiếu chính_thức bị hủy niêm_yết
2023-02-14,9.4,FLC,FLC: Quyết định hủy niêm yết cổ phiếu từ 20.2.2023,Tuesday,quyết_định hủy niêm_yết cổ_phiếu
2023-02-13,14.4,FLC,"FLC: Thời gian, địa điểm và link cung cấp tài liệu họp ĐHĐCĐ bất thường năm 2023 lần 2",Monday,thời_gian địa_điểm link cung_cấp tài_liệu họp đhđcđ bất_thường
2023-02-10,19.0,FLC,FLC chốt ngày tổ chức ĐHĐCĐ bất thường lần 2,Saturday,chốt đhđcđ bất_thường
2023-02-07,14.4,FLC,FLC: Cuộc họp ĐHĐCĐ bất thường lần 1 năm 2023 không đủ điều kiện tiến hành,Tuesday,cuộc họp đhđcđ điều_kiện
2023-02-03,19.0,FLC,"Đại hội cổ đông bất thường của FLC không đủ điều kiện tiến hành, bà Bùi Hải Huyền là lãnh đạo duy nhất của công ty xuất hiện",Sunday,đại_hội cổ_đông bất_thường không_đủ điều_kiện tiến_hành bùi hải huyền là lãnh_đạo duy_nhất công_ty
2023-02-03,19.0,FLC,"Tập đoàn Hòa Bình, Apax Holdings, FLC, Vĩnh Hoàn... bị HoSE 'tuýt còi' vì chưa công bố báo cáo tài chính quý 4",Saturday,tập_đoàn hòa_bình apax holdings vĩnh hoàn_bị hose tuýt còi chưa công_bố báo_cáo tài_chính
2023-01-31,14.5,FLC,FLC: Báo cáo tình hình quản trị công ty năm 2022,Tuesday,báo_cáo tình_hình quản_trị công_ty
2023-01-16,20.0,FLC,"FLC tổ chức ĐHĐCĐ bất thường, miễn nhiệm chức vụ của ông Đặng Tất Thắng",Monday,tổ_chức đhđcđ bất_thường miễn_nhiệm chức_vụ đặng
2023-01-16,10.3,FLC,FLC: CBTT họp ĐHĐCĐ bất thường năm 2023,Monday,cbtt họp đhđcđ bất_thường
2023-01-12,14.4,FLC,"Tập đoàn FLC thông báo thay đổi nhân sự, bộ phận Kiểm toán nội bộ chính thức không còn ai",Thursday,tập_đoàn thông_báo thay_đổi nhân_sự bộ_phận kiểm_toán nội_bộ chính_thức không_còn
2023-01-12,14.2,FLC,FLC: Miễn nhiệm ông Nguyễn Mạnh Cường - Trưởng ban Kiểm toán nội bộ từ 10.1.2023,Thursday,miễn_nhiệm nguyễn_mạnh cường trưởng_ban kiểm_toán nội_bộ
2023-01-11,9.4,FLC,FLC: CBTT nhận đơn từ nhiệm bà Trần Thị Mỹ Dung - TV bộ phận KTNB,Wednesday,cbtt nhận đơn nhiệm trần thị mỹ_dung tv bộ_phận
2023-01-11,9.1,FLC,Tất cả thành viên Bộ phận Kiểm toán nội bộ FLC xin từ chức,Wednesday,tất_cả thành_viên bộ_phận kiểm_toán nội_bộ xin
2023-02-24,16.2,GAB,GAB: Giải trình và phương án khắc phục tình trạng chứng khoán bị đình chỉ giao dịch,Friday,giải_trình phương_án khắc_phục tình_trạng chứng_khoán bị đình_chỉ
2023-02-21,16.3,GAB,GAB: Chuyển cp từ diện hạn chế giao dịch sang diện đình chỉ giao dịch,Tuesday,chuyển cp diện hạn_chế giao_dịch sang diện đình_chỉ
2023-02-21,16.3,GAB,GAB: Quyết định v/v chuyển cổ phiếu từ diện hạn chế giao dịch sang diện đình chỉ giao dịch từ 27.2.2023,Tuesday,quyết_định v v chuyển cổ_phiếu diện hạn_chế giao_dịch sang diện đình_chỉ giao_dịch
2023-02-16,20.3,GAB,Thêm một cổ phiếu “họ” FLC vào diện đình chỉ giao dịch,Thursday,thêm cổ_phiếu diện đình_chỉ
2023-02-16,18.2,GAB,GAB: Cổ phiếu GAB rơi vào diện đình chỉ giao dịch,Thursday,cổ_phiếu rơi diện đình_chỉ
2023-02-10,16.0,GAB,GAB: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 11,Friday,giấy chứng_nhận đăng_ký doanh_nghiệp thay_đổi thứ
2023-01-30,17.0,GAB,GAB: Báo cáo tình hình quản trị công ty năm 2022,Monday,báo_cáo tình_hình quản_trị công_ty
2023-01-18,9.5,GAB,Công ty khai khoáng và quản lý tài sản FLC (GAB) chính thức có Chủ tịch mới,Wednesday,công_ty khai_khoáng quản_lý_tài_sản chính_thức có chủ_tịch mới
2023-01-17,17.5,GAB,GAB: Bổ nhiệm ông Lưu Văn Thịnh giữ chức Chủ tịch HĐQT từ 17.1.2023,Tuesday,bổ_nhiệm lưu văn thịnh giữ chức chủ_tịch hđqt
2023-01-17,16.3,GAB,GAB: Biên bản họp và Nghị quyết ĐHĐCĐ bất thường năm 2022,Tuesday,biên_bản họp nghị_quyết đhđcđ bất_thường
2023-01-09,15.1,GAB,"GAB: Danh sách liên quan đến ứng viên Thành viên HĐQT, Thành viên BKS",Monday,danh_sách liên_quan ứng_viên thành_viên hđqt thành_viên
2023-01-27,16.1,GGG,GGG: Báo cáo quản trị công ty năm 2022,Friday,báo_cáo quản_trị công_ty
2023-02-15,7.1,HAG,Hoàng Anh Gia Lai tiếp tục đạt gần 100 tỷ lợi nhuận trong tháng đầu năm 2023,Wednesday,hoàng gia lai tiếp_tục đạt gần lợi_nhuận đầu
2023-02-13,8.2,HAG,"Đằng sau việc Bầu Đức “bán” 35% vốn Bapi HAGL: Muốn là DN đầu tiên “từ trang trại đến bàn ăn” có đủ từ thịt, rau, đến tỏi, ớt",Monday,đằng sau việc bầu đức bán vốn bapi hagl muốn là dn đầu_tiên trang_trại bàn ăn có đủ thịt rau tỏi
2023-02-10,19.0,HAG,"Chủ tịch Carabao Group: 'Dù kết quả với VPF ra sao, chúng tôi vẫn tài trợ cho HAGL và bầu Đức'",Sunday,chủ_tịch carabao group kết_quả vpf ra_sao chúng_tôi vẫn tài_trợ hagl bầu
2023-02-09,16.5,HAG,HAG: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 31,Thursday,giấy chứng_nhận đăng_ký doanh_nghiệp thay_đổi thứ
2023-02-06,8.2,HAG,"Bầu Đức lần đầu đón 'đúng sóng': Giá sầu riêng tăng nóng từng ngày, vượt 200.000 đồng/kg, HAGL sẵn sàng vườn sầu riêng 1.000ha",Monday,bầu đầu đón đúng sóng giá sầu_riêng tăng nóng từng vượt hagl sẵn_sàng vườn
2023-02-03,19.0,HAG,"Kết lại năm 2022 nuôi heo của các 'đại gia': ThaiHoldings nhảy vào đúng lúc thị trường xuống, Hoà Phát năm thứ 3 tăng trưởng âm, Dabaco và BaF bất ngờ báo lỗ",Saturday,kết lại nuôi heo đại_gia thaiholdings nhảy đúng lúc thị_trường xuống hoà phát thứ âm dabaco baf bất_ngờ báo
2023-02-02,10.5,HAG,Hoàng Anh Gia Lai (HAGL) đưa đề xuất mới tại V-League 2023: Bố trí phòng riêng cho những khách uống nước tăng lực Carabao,Thursday,hoàng gia lai hagl đưa đề_xuất mới v league bố_trí phòng riêng khách uống nước tăng_lực
2023-02-02,7.1,HAG,"Bán gần 300.000 con heo và 300.000 tấn chuối chưa đủ trả lãi vay, “bí mật” cho mức lãi đều đặn trăm tỷ/tháng của Hoàng Anh Gia Lai là gì?",Thursday,bán gần heo chuối chưa đủ trả_lãi vay bí_mật mức lãi đều_đặn hoàng_anh gia lai là
2023-02-01,16.4,HAG,HAG: Biện pháp và lộ trình khắc phục tình trạng chứng khoán bị cảnh báo,Wednesday,biện_pháp lộ_trình khắc_phục tình_trạng chứng_khoán bị cảnh_báo
2023-01-30,14.3,HAG,HAG: Báo cáo tình hình quản trị công ty năm 2022,Monday,báo_cáo tình_hình quản_trị công_ty
2023-01-20,9.4,HAG,Cục thuế Gia Lai xử phạt Hoàng Anh Gia Lai (HAGL) hơn 260 triệu đồng,Friday,thuế gia lai xử_phạt hoàng_anh gia lai hagl hơn
2023-01-19,20.4,HAG,"Bapi HAGL - Công ty chủ quản Heo ăn chuối sắp phát hành thêm 5 triệu cổ phiếu, sẽ không còn là công ty con của HAGL",Thursday,bapi hagl công_ty chủ_quản heo ăn chuối sắp phát_hành thêm cổ_phiếu sẽ không_còn là công_ty_con
2023-01-19,17.3,HAG,HAG: Quyết định của Cục thuế Tỉnh Gia Lai v/v xử phạt vi phạm hành chính về thuế,Thursday,quyết_định thuế tỉnh gia lai v v xử_phạt vi_phạm hành_chính thuế
2023-01-18,17.4,HAG,HAG: Công văn của UBCKNN về chấp thuận chào bán riêng lẻ cổ phiếu,Wednesday,công_văn ubcknn chấp_thuận chào bán riêng_lẻ
